x,y,z,f1,n_pix,concentration,R_circ,angle_3d_deg,angle_inplane_deg,dyad_inplane_deg,psoct_x,psoct_y,psoct_z,dyad_x,dyad_y,dyad_z
184,165,68,0.7886239836962963,78,0.9537269841173741,0.9729441700684945,7.60083131203789,3.612948422418003,82.89280069243043,-0.9990976217239225,0.03416117541724804,-0.025237994367892733,0.9848345,-0.15464693,0.078647345
184,155,55,0.8089961927705587,59,0.5754740778836394,0.6225174056233514,38.58859606583357,1.4146360340884756,52.75823946506434,-0.9383245655987938,-0.02546516617786892,0.34481666854339915,-0.7246016,0.5998374,0.3393342
167,195,48,0.6833653863580413,95,0.8975044931370699,0.9365798482879547,14.49184825341495,6.553562697750214,75.81447164494448,-0.9778210755830523,0.06087128187431237,-0.20040117561676385,0.959034,-0.27493888,0.06828148
176,153,61,0.7650465892770381,95,0.9654668611639831,0.9687512574602326,27.500290777275456,25.25514813720696,75.30434219210825,-0.7912307534065536,0.11764400903711891,-0.6000948108435634,0.93884,-0.29166126,0.18306646
179,161,63,0.6134724257250777,95,0.9585678930362967,0.9540210870873505,15.479470901146763,11.887720608166033,77.31174549682031,-0.8533885024013927,0.10553002013058534,-0.510481614576222,0.91512346,-0.26589248,0.30306804
169,159,57,0.6465971252901156,85,0.9523825324009447,0.9299646574525906,8.015689514360458,1.3039792335495015,81.85111459779404,-0.9932937077592329,0.012088299624818792,0.11498470827938961,-0.9890154,-0.1234931,0.08122792
167,186,68,0.7026876615812081,69,0.7556701691973431,0.8757346081284169,5.67913151760409,3.6057533216893787,84.07315448810779,-0.9209320006801209,-0.032788144244249036,0.38834158639054894,-0.8920586,-0.11392901,0.43732333
159,165,67,0.6969066071783717,96,0.9606887683709316,0.9653212114278279,10.004614611777667,3.2401855320427537,78.6060218207337,-0.8818853498939935,-0.046589310899167846,0.4691563340212828,-0.8938417,-0.20556957,0.39848238
178,157,57,0.7822413052840237,91,0.8606758040806748,0.8867492610616181,48.190227957966975,31.982778600537305,53.22062776482359,-0.9474980638137244,-0.02116554116448377,0.31906024342819356,0.7641779,-0.63004804,0.1380999
176,168,66,0.6951389989355823,94,0.9449111856356481,0.9412373970365879,15.666297911064351,15.43015039407459,84.48459004379568,-0.8594241528395811,0.10416016809259254,-0.5005404927664608,0.95847386,-0.1390209,0.24900028
183,151,50,0.9132281562256302,96,0.9178335089488749,0.9241777578413471,21.930625608051713,7.168212549086968,69.04229369599125,-0.9993149268435638,0.026134461532423263,0.026204329948557422,0.9198754,-0.38671196,0.06544557
172,150,50,0.9952497518990816,94,0.9521418437844751,0.9489325515592503,11.925494716290595,11.814141162852161,87.53885177407147,-0.993042345265468,0.046904307729416284,-0.10801336225709983,-0.99321496,0.06052173,0.09930358
180,176,71,0.6191583942600858,63,0.9313584354671053,0.936119761601192,13.792928677714825,4.895995486172063,74.94487774388598,-0.9117370665927362,0.09016028813436994,-0.4007575873821978,0.9057565,-0.3052087,0.29402876
174,151,54,0.8080558148859913,90,0.943976373381965,0.9467559678280343,18.943725570653562,15.165455437436465,76.77970126479538,-0.9520046661222126,0.07513155063305926,-0.2967193384007973,0.96663994,-0.2552247,0.021625577
